Código FS,Hexadecimal
26008,#464850  
26044,#2f353f  
26081,#4b4c50  
26120,#54433e  
26122,#615b5f  
26132,#636269  
26134,#686566  
26152,#666971  
26173,#757684  
26176,#6b7283  
26187,#70757d  
26231,#7f8089  
26250,#82858a  
26251,#88868c  
26255,#80838d  
26260,#848584  
26270,#878892  
26280,#8d8c90  
26290,#8c8f98  
26293,#908f97  
26295,#9d9fae  
26306,#9c8d88  
26307,#94918d  
26314,#919397  
26329,#8e9aa3  
26357,#a49d96  
26360,#aea396  
26373,#a4a3ad  
26380,#9fa5b3  
26400,#d0c0ad  
26405,#bdafa1  
26408,#beb7b1  
26420,#b3afac  
26424,#c1b2b0  
26440,#b2acae  
26480,#aebbb5  
26492,#bfbabd  
26493,#bcb8c0  
26496,#b4b0ac  
26521,#cab6af  
26555,#d1bfa9  
26559,#c7beb7  
26586,#d1c2b0  
26595,#c6c0bb  
26622,#cbc2c1  
26630,#cbcfd9  
27038,#1c1d22  
27040,#222227  
27041,#39383a  
27043,#967d46  
27142,#9a477d  
27144,#515fc1  
27722,#e5d9d5  
27769,#e6d3c4  
27778,#efe1d5  
27780,#f2e5df  
27855,#e8ddba  
27875,#f2ebf0  
27880,#fbeeec  
27885,#f3f2e7  
27886,#f9ece7  
27925,#f9f0f7  
28913,#ff0900  
28915,#ff4b00  
30040,#524641  
30045,#584645  
30051,#594d45  
30097,#5e4d43  
30099,#685347  
30108,#60443b  
30109,#874840  
30111,#724a46  
30117,#7f5745  
30118,#705a43  
30140,#7e5d4d  
30145,#81634e  
30160,#7c424f  
30166,#864b45  
30206,#976f6f  
30215,#96674a  
30219,#987563  
30227,#9b7d72  
30233,#a46f67  
30252,#b47360  
30257,#bd8e60  
30266,#a98652  
30277,#9e8a75  
30279,#b19083  
30313,#b08e84  
30315,#ae8e83  
30318,#ab957f  
30324,#b09185  
30372,#af9a8a  
30450,#caa898  
31090,#79533d  
31136,#a0333a  
31158,#bd4255  
31400,#d04032  
31433,#d28586  
31575,#e4b2a3  
31638,#f0acb7  
31643,#ebc9b9  
31667,#f0cbb2  
31668,#ebc8c9  
31669,#f5c9d1  
31670,#f2c9bb  
32169,#af5438  
32246,#e85e31  
32276,#ce705a  
32356,#db7868  
32473,#e77543  
32516,#dc946f  
32540,#e28563  
32544,#fb9756  
32555,#fda85e  
32630,#e8bda4  
32648,#f1c4a5  
33070,#595142  
33105,#745d46  
33245,#ac7e54  
33303,#a9947b  
33434,#d69c50  
33440,#9f825b  
33446,#b49d80  
33448,#bea07d  
33481,#d1af4d  
33510,#bcab90  
33522,#cfb69f  
33531,#d2b7a7  
33538,#ffaa07  
33564,#dac39c  
33578,#d9c2a7  
33613,#eec6a5  
33617,#e1c7b7  
33637,#edb750  
33655,#ffbf00  
33685,#e8d8a6  
33690,#eed2b5  
33695,#fad08d  
33696,#ffcf6b  
33711,#efcfae  
33717,#edd3ba  
33722,#ecd1af  
33727,#f1d7ac  
33793,#f9e58c  
33798,#fadea4  
33814,#e6e3a0  
34031,#4a4444  
34052,#484743  
34058,#2f4f52  
34064,#514d4b  
34079,#4c4d43  
34082,#535640  
34083,#504e44  
34084,#49433c  
34086,#54504b  
34088,#473f37  
34089,#63613e  
34090,#14764e  
34092,#46554f  
34094,#4a5444  
34095,#4c5037  
34096,#545447  
34097,#575c45  
34098,#635d41  
34102,#565845  
34108,#39604b  
34127,#645f40  
34128,#586553  
34129,#4c4e43  
34130,#5d583c  
34138,#517845  
34148,#586c6e  
34151,#65623c  
34158,#5f6b6e  
34159,#676c63  
34160,#686664  
34170,#4f5149  
34201,#827660  
34226,#798175  
34227,#748567  
34230,#4c934f  
34233,#788a8f  
34241,#809993  
34258,#87885e  
34259,#847536  
34272,#6c9178  
34277,#7e918f  
34300,#81978f  
34325,#769e92  
34350,#6fc7b0  
34373,#98a48d  
34410,#99a9a1  
34414,#b1baaa  
34424,#acac9a  
34432,#a9aca0  
34441,#a8b09a  
34449,#9fb396  
34491,#aabaab  
34504,#afbaa8  
34516,#afbcb1  
34518,#abb8b0  
34524,#b5bc98  
34533,#aeba99  
34540,#99ca85  
34552,#d0c58a  
34554,#ceccb7  
34558,#bac7ad  
34583,#bcb9a0  
34666,#d7e0a8  
34670,#ccd2c9  
34672,#d1d3be  
35042,#373a42  
35044,#363848  
35045,#324052  
35056,#24357d  
35109,#37647e  
35164,#646e83  
35177,#587594  
35180,#056cb9  
35183,#1373af  
35189,#637d8b  
35190,#5683a5  
35193,#4c8392  
35231,#7284b7  
35237,#7c8592  
35240,#748fbd  
35250,#4e9bd7  
35260,#45abc9  
35275,#2699a9  
35299,#6b9a99  
35352,#899da4  
35414,#94a8ab  
35450,#88acd1  
35466,#7bc2e7  
35488,#98b0d2  
35526,#afbacc  
35550,#c9d2e4  
35622,#c8cfce  
35630,#d8d2d6  
36076,#4a4c57  
36081,#4e4f54  
36099,#525660  
36118,#5b5e6a  
36152,#686b73  
36170,#5c5c5b  
36173,#747683  
36176,#6b7282  
36231,#7e7e87  
36251,#848388  
36270,#858691  
36280,#8c8b90  
36293,#8f8d96  
36300,#9495a5  
36306,#a2928d  
36307,#979392  
36314,#929396  
36320,#8f94a6  
36357,#a59d97  
36373,#a6a6af  
36375,#9fa1b2  
36405,#c1b3a4  
36415,#c1aa97  
36424,#beafac  
36440,#b0aaad  
36463,#aaa8af  
36473,#a6aab1  
36480,#aab7b2  
36492,#bcb6be  
36495,#cac8d2  
36521,#cebab2  
36555,#d0bca4  
36559,#c4bab1  
36586,#cfc2b5  
36595,#c8c0bd  
36622,#d0c6c7  
36628,#d4cfd5  
36642,#e7cec2  
37030,#373538  
37031,#343337  
37038,#343236  
37056,#493f3e  
37100,#6e4177  
37142,#974a80  
37144,#815c89  
37150,#dacac3  
37200,#97939a  
37722,#e9dbd5  
37769,#dfccbf  
37778,#f0dfd0  
37855,#f5e4c8  
37875,#f1eaee  
37886,#f7eae4  
37925,#fbf1fb  
38901,#00a43b  
38903,#ff5400  
38905,#ff0d21  
38907,#ffbf00  
